title,slug,category,kind,description,website,apply_link,latest_update,updated,tags,popular,quick,Conducting Body,Official Notification,Registration Start,Last Date,Correction Window,Admit Card,Exam Date,Answer Key,Result,Counselling,Eligibility,Age Limit,Application Fee,Exam Pattern,Syllabus,Previous Papers,Required Documents,Processing Time,Helpline,Purpose,Admission Portal,Result Portal,Exam Portal,Academic Calendar,Contact,Result Link,Time Table,Sample Papers,Job Categories,Notification,Scholarship Amount
CTET,ctet,Entrance Exams,Exam,Official CTET September 2026 portal and notices,https://ctet.nic.in/,,CTET September 2026 was scheduled for 13 September 2026. The correction window closed on 10 September 2026; result and answer-key updates are to be checked on the official CTET portal.,2026-09-21,,,,Central Board of Secondary Education (CBSE),https://ctet.nic.in/,2026 application window as notified by CBSE,As per the official CTET September 2026 notice,Last correction window closed 10 September 2026,https://ctet.nic.in/,13 September 2026,To be announced,To be announced,Not applicable; CTET is an eligibility test.,Paper I and Paper II eligibility depends on the prescribed teacher-education qualifications under CTET/NCTE rules.,No upper age limit.,Category and paper-wise fee as prescribed in the CTET September 2026 Information Bulletin.,OMR-based; each paper has 150 MCQs for 150 marks; no negative marking.,https://ctet.nic.in/,https://ctet.nic.in/archive/,,,,,,,,,,,,,,,
REET,reet,Entrance Exams,Exam,Official Rajasthan REET/RTET portal,https://rajeduboard.rajasthan.gov.in/,,"No new REET eligibility-test notification was identified on the official BSER REET page as of 21 September 2026. The latest completed cycle remains REET 2024, conducted in February 2025.",2026-09-21,,yes,yes,"Board of Secondary Education, Rajasthan (BSER/RBSE)",https://rajeduboard.rajasthan.gov.in/RTET-REET/RTET-REET.htm,,,,,Latest completed cycle: 27–28 February 2025,https://rajeduboard.rajasthan.gov.in/RTET-REET/RTET-REET.htm,Latest completed cycle result: 08 May 2025,REET itself is an eligibility test; recruitment/admission processes are separate.,Level-wise educational qualification as prescribed by NCTE and Rajasthan rules.,As prescribed for the applicable REET cycle.,Depends on the level(s) selected in the applicable notification.,OMR-based eligibility examination; Level 1 and Level 2 are separate papers.,https://rajeduboard.rajasthan.gov.in/RTET-REET/RTET-REET.htm,https://rajeduboard.rajasthan.gov.in/RTET-REET/RTET-REET.htm,,,,,,,,,,,,,,,
Rajasthan PTET 2026,ptet,Entrance Exams,Exam,"Vardhman Mahaveer Open University (VMOU), Kota",https://ptet.rajasthansarkar.in/,,PTET 2026 examination was held on 14 June 2026. Candidates should use the official PTET portal for the current result and counselling/college-allotment notices.,2026-09-21,,,,"Vardhman Mahaveer Open University (VMOU), Kota",https://ptet.rajasthansarkar.in/,20 February 2026,Extended application schedule as notified on the official portal,As notified on the official portal,https://ptet.rajasthansarkar.in/,14 June 2026,https://ptet.rajasthansarkar.in/,https://ptet.rajasthansarkar.in/,https://ptet.rajasthansarkar.in/,"For the 2-year B.Ed route, graduation/postgraduation eligibility is governed by the PTET 2026 rules.",As prescribed in the PTET 2026 guidelines.,₹500,"OMR-based, 200 questions, 600 marks, 3 hours; Mental Ability, Teaching Attitude & Aptitude, General Awareness and Language Proficiency.",https://ptet.rajasthansarkar.in/,https://ptet.rajasthansarkar.in/,,,,,,,,,,,,,,,
Aadhaar,aadhaar,Government Services,Service,Official UIDAI Aadhaar portal and services,https://uidai.gov.in/,https://myaadhaar.uidai.gov.in/,UIDAI has announced that charges for email-address update through the Aadhaar mobile application are waived until 31 December 2026. Check UIDAI announcements for current service rules.,2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,Identity/address documents as applicable to the requested Aadhaar service.,Varies by service.,1947,,,,,,,,,,,,
UIDAI,uidai,Official Websites,Website,Unique Identification Authority of India — official Aadhaar authority website.,https://uidai.gov.in/,,Official UIDAI announcements and Aadhaar service advisories are available on the UIDAI portal.,2026-09-21,,,,,,,,,,,,,,,,,,,,,,,"Aadhaar enrolment/update information, authentication services, downloads, regulations and citizen services.",,,,,,,,,,,
MBM University,mbm-university,Universities,University,Official MBM University website and admission portal,https://mbm.ac.in/,,"Latest MBM University newsroom updates include admission notices, vacant-seat/direct-admission updates and postgraduate/doctoral admission notices published in September 2026.",2026-09-21,,,,,,,,,,,,,,,,,,,,,,,,https://admissions.mbm.ac.in/,https://mbm.ac.in/,https://mbm.ac.in/,https://mbm.ac.in/,https://mbm.ac.in/,,,,,,
Central Board of Secondary Education (CBSE),cbse,Board Results,Board,,https://www.cbse.gov.in/,,CBSE 2026 Class X result was announced on 15 April 2026 and Class XII result on 13 May 2026. Use the official CBSE and results portals for current notices.,2026-09-21,,,,,,,,,https://www.cbse.gov.in/,,,,,,,,,https://www.cbse.gov.in/,,,,,,,,,,,https://results.cbse.nic.in/,https://www.cbse.gov.in/,https://www.cbse.gov.in/,,,
LinkedIn Jobs,linkedin-jobs,Private Jobs,Job Portal,Official LinkedIn job and internship search platform.,https://www.linkedin.com/jobs/,,LinkedIn Jobs is currently active for job and internship searches; listings change continuously.,2026-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Engineering, IT, software, business development, finance, sales, marketing, HR, healthcare and other sectors.",,
National Scholarship Portal (NSP) 2026-27,nsp,Scholarships,Scholarship,Government of India scholarship application and tracking portal.,https://scholarships.gov.in/,https://scholarships.gov.in/Students,NSP is open for Academic Year 2026-27. One Time Registration (OTR) is required. The official portal currently lists multiple schemes with student-application deadlines extending into September/October 2026.,2026-09-21,,,,,,01 June 2026 for the Academic Year 2026-27 portal opening,Scheme-specific; many schemes currently show 31 October 2026 as the student-application deadline.,,,,,,,Depends on the selected scholarship scheme.,,,,,,,,,,,,,,,,,,,https://scholarships.gov.in/All-Scholarships,Scheme-specific.
Rajasthan SSO,rajasthan-sso,Government Services,Service,Official Rajasthan Single Sign-On portal,https://sso.rajasthan.gov.in/signin,,Use the official SSO portal for the current login and service availability.,2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,Depends on the selected government service.,,,,,,,,,,,,,,
eMitra Rajasthan,emitra-rajasthan,Government Services,Service,Official Rajasthan eMitra service portal,https://emitra.rajasthan.gov.in/,,Use the official eMitra portal for current service links and application requirements.,2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,Depends on the selected eMitra service.,,,,,,,,,,,,,,
Jan Aadhaar,jan-aadhaar,Government Services,Service,Official Rajasthan Jan Aadhaar portal,https://janaadhaar.rajasthan.gov.in/,,Use the official Jan Aadhaar portal for current enrolment and update services.,2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,Depends on the requested Jan Aadhaar service.,,,,,,,,,,,,,,
Passport Seva,passport-seva,Government Services,Service,Official Government of India Passport Seva portal,https://www.passportindia.gov.in/,,"Use Passport Seva for current application, appointment and passport-status services.",2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,Identity/address and other documents depend on the passport service.,,,,,,,,,,,,,,
DigiLocker,digilocker,Government Services,Service,Official DigiLocker document wallet and services,https://www.digilocker.gov.in/,,DigiLocker remains the official digital-document platform; service availability depends on the issuer.,2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,Aadhaar/mobile details may be required for account and service-specific verification.,,,,,,,,,,,,,,
RPSC,rpsc,Government Jobs,Website,Official Rajasthan Public Service Commission portal,https://rpsc.rajasthan.gov.in/,,"Check the official RPSC portal for the latest advertisements, examination schedules and results.",2026-09-21,,yes,yes,,,,,,,,,,,,,,,,,,,,"Recruitment notifications, applications, admit cards, results and examination information.",,,,,,,,,,,
RSSB,rssb,Government Jobs,Website,Official Rajasthan Staff Selection Board portal,https://rssb.rajasthan.gov.in/,,Check the official RSSB portal for current recruitment notifications and candidate services.,2026-09-21,,,,,,,,,,,,,,,,,,,,,,,"Recruitment advertisements, applications, admit cards, answer keys and results.",,,,,,,,,,,
SSC,ssc,Government Jobs,Website,Official Staff Selection Commission portal,https://ssc.gov.in/,,Check the official SSC portal for current recruitment calendars and notices.,2026-09-21,,yes,,,,,,,,,,,,,,,,,,,,,"SSC recruitment notifications, applications, admit cards, answer keys and results.",,,,,,,,,,,
UPSC,upsc,Government Jobs,Website,Official Union Public Service Commission portal,https://www.upsc.gov.in/,,"Check UPSC's official examination pages for current notifications, schedules and results.",2026-09-21,,yes,,,,,,,,,,,,,,,,,,,,,"Examination notifications, applications, admit cards, results and recruitment information.",,,,,,,,,,,
Railway Recruitment,railway-recruitment,Railway Jobs,Website,Official Indian Railways / RRB recruitment resources,https://indianrailways.gov.in/,,Railway recruitment notices are issued by the relevant RRB; candidates should verify the regional RRB notice before applying.,2026-09-21,,,,,,,,,,,,,,,,,,,,,,,"Railway recruitment information, RRB notices and official railway services.",,,,,,,,,,,
PAN Card,pan-card,Government Services,Service,Official Income Tax PAN and e-filing services,https://www.incometax.gov.in/iec/foportal/,,Use the Income Tax Department portal and the authorized PAN service providers linked by the government.,2026-09-21,,,yes,,,,,,,,,,,,,,,,,PAN application/update requirements depend on the selected service.,,,,,,,,,,,,,,
Driving Licence,driving-licence,Government Services,Service,Official Parivahan driving licence services,https://parivahan.gov.in/,,"Use the official Parivahan portal for current licence application, renewal and appointment services.",2026-09-21,,,yes,,,,,,,,,,,,,,,,,"Age, address, identity and vehicle/learner-licence documents vary by service.",,,,,,,,,,,,,,
Voter ID,voter-id,Government Services,Service,Official Election Commission voter services portal,https://voters.eci.gov.in/,,Use the official ECI Voters' Services Portal for current voter registration and correction services.,2026-09-21,,,,,,,,,,,,,,,,,,,,"Documents depend on the registration, correction or other voter service requested.",,,,,,,,,,,,,,
JNVU,jnvu,Universities,University,Official Jai Narain Vyas University website,https://www.jnvu.edu.in/,,"Use the official JNVU website for current admissions, examinations, results and notices.",2026-09-21,,,,,,,,,,,,,,,,,,,,,,,,https://www.jnvu.edu.in/,https://www.jnvu.edu.in/,https://www.jnvu.edu.in/,https://www.jnvu.edu.in/,https://www.jnvu.edu.in/,,,,,,
Rajasthan University,rajasthan-university,Universities,University,Official University of Rajasthan website,https://www.uniraj.ac.in/,,"Use the official University of Rajasthan website for current admissions, examination and result notices.",2026-09-21,,,,,,,,,,,,,,,,,,,,,,,,https://www.uniraj.ac.in/,https://www.uniraj.ac.in/,https://www.uniraj.ac.in/,https://www.uniraj.ac.in/,https://www.uniraj.ac.in/,,,,,,
RBSE 10th Result,rbse-10th-result,Board Results,Board,Official Rajasthan Board result and student resources,https://rajeduboard.rajasthan.gov.in/,,"Use the official RBSE portal for the latest result, timetable, syllabus and examination notices.",2026-09-21,,,,,,,,,https://rajeduboard.rajasthan.gov.in/,,,,,,,,,https://rajeduboard.rajasthan.gov.in/,,,,,,,,,,,https://rajeduboard.rajasthan.gov.in/,https://rajeduboard.rajasthan.gov.in/,https://rajeduboard.rajasthan.gov.in/,,,
RBSE 12th Result,rbse-12th-result,Board Results,Board,Official Rajasthan Board result and student resources,https://rajeduboard.rajasthan.gov.in/,,"Use the official RBSE portal for the latest result, timetable, syllabus and examination notices.",2026-09-21,,,,,,,,,https://rajeduboard.rajasthan.gov.in/,,,,,,,,,https://rajeduboard.rajasthan.gov.in/,,,,,,,,,,,https://rajeduboard.rajasthan.gov.in/,https://rajeduboard.rajasthan.gov.in/,https://rajeduboard.rajasthan.gov.in/,,,
IBPS,ibps,Banking Exams,Website,"Institute of Banking Personnel Selection - PO, Clerk, SO and RRB recruitment exams.",https://www.ibps.in/,,,,"bank, po, clerk, rrb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBI Careers,sbi-careers,Banking Exams,Website,"State Bank of India recruitment notices, applications and results.",https://sbi.co.in/web/careers,,,,"sbi, bank, po, clerk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBI,rbi,Banking Exams,Website,"Reserve Bank of India - official website, recruitment and notifications.",https://www.rbi.org.in/,,,,"rbi, bank, grade b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA,nta,Education,Website,"National Testing Agency - JEE Main, NEET, CUET, UGC NET and other exams.",https://nta.ac.in/,,,,"exam, jee, neet, cuet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCERT,ncert,Education,Website,"Official NCERT textbooks, syllabus and study material.",https://ncert.nic.in/,,,,"books, textbook, syllabus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AICTE,aicte,Education,Website,All India Council for Technical Education - approved institutions and schemes.,https://www.aicte-india.org/,,,,"engineering, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC,ugc,Education,Website,"University Grants Commission - universities, regulations and scholarships.",https://www.ugc.gov.in/,,,,"university, net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyGov,mygov,Official Websites,Website,Government of India citizen engagement platform.,https://www.mygov.in/,,,,"government, citizen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Portal of India,india-gov,Official Websites,Website,Official gateway to Government of India services and information.,https://www.india.gov.in/,,,,"government, portal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment News,employment-news,Official Websites,Website,Weekly government job and career notices.,https://www.employmentnews.gov.in/,,,,"jobs, government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
